[06:10:50.470] WRITE: PID 37508 (python3): file '5' (inode: 8), size: 108 bytes, LBA: 0, flags: O_RDWR
[06:10:50.485] WRITE: PID 48373 (sudo): file 'tty' (inode: 12), size: 240 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.485] READ: PID 48373 (sudo): file 'ptmx' (inode: 89), size: 65536 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.486] WRITE: PID 48373 (sudo): file 'tty' (inode: 12), size: 349 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.486] READ: PID 48373 (sudo): file 'ptmx' (inode: 89), size: 65536 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.487] WRITE: PID 48373 (sudo): file 'tty' (inode: 12), size: 115 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.487] READ: PID 37506 (sudo): file 'ptmx' (inode: 89), size: 65536 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.489] WRITE: PID 37506 (sudo): file 'tty' (inode: 12), size: 1315 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.489] READ: PID 48373 (sudo): file 'ptmx' (inode: 89), size: 65536 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.490] WRITE: PID 48373 (sudo): file 'tty' (inode: 12), size: 117 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.490] READ: PID 48373 (sudo): file 'ptmx' (inode: 89), size: 65536 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.491] WRITE: PID 48373 (sudo): file 'tty' (inode: 12), size: 115 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.491] READ: PID 37506 (sudo): file 'ptmx' (inode: 89), size: 65536 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.491] READ: PID 48373 (sudo): file 'ptmx' (inode: 89), size: 65536 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.491] WRITE: PID 48373 (sudo): file 'tty' (inode: 12), size: 232 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.492] WRITE: PID 37506 (sudo): file 'tty' (inode: 12), size: 561 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.492] READ: PID 37506 (sudo): file 'ptmx' (inode: 89), size: 65536 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.493] READ: PID 48373 (sudo): file 'ptmx' (inode: 89), size: 65536 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.493] WRITE: PID 48373 (sudo): file 'tty' (inode: 12), size: 349 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.493] WRITE: PID 37506 (sudo): file 'tty' (inode: 12), size: 536 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.495] READ: PID 37506 (sudo): file 'ptmx' (inode: 89), size: 65536 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.496] WRITE: PID 37506 (sudo): file 'tty' (inode: 12), size: 134 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.496] READ: PID 48373 (sudo): file 'ptmx' (inode: 89), size: 65536 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.496] WRITE: PID 48373 (sudo): file 'tty' (inode: 12), size: 232 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.496] READ: PID 44270 (gnome-terminal-): file 'ptmx' (inode: 89), size: 5417 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.496] READ: PID 37506 (sudo): file 'ptmx' (inode: 89), size: 65536 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.497] WRITE: PID 37506 (sudo): file 'tty' (inode: 12), size: 134 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.497] READ: PID 48373 (sudo): file 'ptmx' (inode: 89), size: 65536 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.497] READ: PID 44270 (gnome-terminal-): file 'ptmx' (inode: 89), size: 5185 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.497] WRITE: PID 44270 (gnome-terminal-): file '[eventfd]' (inode: 62), size: 8 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.497] READ: PID 44270 (gnome-terminal-): file '[eventfd]' (inode: 62), size: 8 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.498] READ: PID 37506 (sudo): file 'ptmx' (inode: 89), size: 65536 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.498] WRITE: PID 37506 (sudo): file 'tty' (inode: 12), size: 268 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.498] READ: PID 48373 (sudo): file 'ptmx' (inode: 89), size: 65421 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.499] WRITE: PID 48373 (sudo): file 'tty' (inode: 12), size: 580 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.499] READ: PID 37506 (sudo): file 'ptmx' (inode: 89), size: 65536 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.500] WRITE: PID 37506 (sudo): file 'tty' (inode: 12), size: 377 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.500] READ: PID 48373 (sudo): file 'ptmx' (inode: 89), size: 65536 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.501] WRITE: PID 48373 (sudo): file 'tty' (inode: 12), size: 349 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.501] READ: PID 48373 (sudo): file 'ptmx' (inode: 89), size: 65536 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.501] READ: PID 37506 (sudo): file 'ptmx' (inode: 89), size: 65536 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.502] WRITE: PID 37506 (sudo): file 'tty' (inode: 12), size: 159 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.502] WRITE: PID 44270 (gnome-terminal-): file '[eventfd]' (inode: 62), size: 8 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.502] READ: PID 44270 (gnome-terminal-): file 'ptmx' (inode: 89), size: 5185 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.503] READ: PID 44270 (gnome-terminal-): file 'ptmx' (inode: 89), size: 4256 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.503] READ: PID 37506 (sudo): file 'ptmx' (inode: 89), size: 65536 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.503] WRITE: PID 44270 (gnome-terminal-): file '[eventfd]' (inode: 62), size: 8 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.504] READ: PID 48373 (sudo): file 'ptmx' (inode: 89), size: 65421 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.504] WRITE: PID 48373 (sudo): file 'tty' (inode: 12), size: 1392 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.504] READ: PID 48373 (sudo): file 'ptmx' (inode: 89), size: 65536 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.504] READ: PID 37506 (sudo): file 'ptmx' (inode: 89), size: 65134 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.505] READ: PID 44270 (gnome-terminal-): file '[eventfd]' (inode: 62), size: 8 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.505] WRITE: PID 44270 (gnome-terminal-): file '[eventfd]' (inode: 62), size: 8 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.505] READ: PID 44270 (gnome-terminal-): file 'ptmx' (inode: 89), size: 4256 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.505] READ: PID 44270 (gnome-terminal-): file 'ptmx' (inode: 89), size: 2864 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.505] WRITE: PID 44270 (gnome-terminal-): file '[eventfd]' (inode: 62), size: 8 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.506] READ: PID 44270 (gnome-terminal-): file '[eventfd]' (inode: 62), size: 8 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.506] WRITE: PID 37506 (sudo): file 'tty' (inode: 12), size: 938 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.506] READ: PID 48373 (sudo): file 'ptmx' (inode: 89), size: 65421 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.506] WRITE: PID 48373 (sudo): file 'tty' (inode: 12), size: 1209 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.507] READ: PID 48373 (sudo): file 'ptmx' (inode: 89), size: 65536 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.507] READ: PID 37506 (sudo): file 'ptmx' (inode: 89), size: 65536 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.508] WRITE: PID 48373 (sudo): file 'tty' (inode: 12), size: 813 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.508] WRITE: PID 37506 (sudo): file 'tty' (inode: 12), size: 268 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.508] READ: PID 48373 (sudo): file 'ptmx' (inode: 89), size: 65536 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.509] WRITE: PID 44270 (gnome-terminal-): file '[eventfd]' (inode: 62), size: 8 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.509] READ: PID 44270 (gnome-terminal-): file 'ptmx' (inode: 89), size: 2864 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.509] READ: PID 44270 (gnome-terminal-): file 'ptmx' (inode: 89), size: 842 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.509] WRITE: PID 44270 (gnome-terminal-): file '[eventfd]' (inode: 62), size: 8 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.509] READ: PID 48373 (sudo): file 'ptmx' (inode: 89), size: 63319 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.510] READ: PID 37506 (sudo): file 'ptmx' (inode: 89), size: 65536 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.510] READ: PID 44270 (gnome-terminal-): file '[eventfd]' (inode: 62), size: 8 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.510] READ: PID 1311 (KMS thread): file '[eventfd]' (inode: 62), size: 8 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.511] WRITE: PID 48373 (sudo): file 'tty' (inode: 12), size: 2799 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.511] READ: PID 37506 (sudo): file 'ptmx' (inode: 89), size: 65293 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.511] WRITE: PID 37506 (sudo): file 'tty' (inode: 12), size: 268 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.512] WRITE: PID 1311 (KMS thread): file '[eventfd]' (inode: 62), size: 8 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.512] WRITE: PID 1311 (KMS thread): file '[eventfd]' (inode: 62), size: 8 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.513] READ: PID 48373 (sudo): file 'ptmx' (inode: 89), size: 65536 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.470] READ: PID 1311 (gnome-shell): file '[eventfd]' (inode: 62), size: 8 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.473] READ: PID 1311 (gnome-shell): file '[eventfd]' (inode: 62), size: 8 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.473] WRITE: PID 42441 (Chrome_ChildIOT): file '' (inode: 329499), size: 1 bytes, LBA: 0, flags: O_WRONLY
[06:10:50.473] READ: PID 42441 (VizCompositorTh): file '' (inode: 329499), size: 2 bytes, LBA: 0, flags: 0
[06:10:50.475] WRITE: PID 42441 (Chrome_ChildIOT): file '' (inode: 329499), size: 1 bytes, LBA: 0, flags: O_WRONLY
[06:10:50.475] READ: PID 42441 (VizCompositorTh): file '' (inode: 329499), size: 2 bytes, LBA: 0, flags: 0
[06:10:50.475] READ: PID 1311 (gnome-shell): file '[eventfd]' (inode: 62), size: 8 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.480] WRITE: PID 44270 (gnome-terminal-): file '[eventfd]' (inode: 62), size: 8 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.481] READ: PID 44270 (gnome-terminal-): file 'ptmx' (inode: 89), size: 8136 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.484] WRITE: PID 1311 (gnome-shell): file '[eventfd]' (inode: 62), size: 8 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.486] WRITE: PID 1311 (gnome-shell): file '[eventfd]' (inode: 62), size: 8 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.487] WRITE: PID 1311 (gnome-shell): file '[eventfd]' (inode: 62), size: 8 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.487] READ: PID 1311 (gnome-shell): file '[eventfd]' (inode: 62), size: 8 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.487] WRITE: PID 1311 (gnome-shell): file '[eventfd]' (inode: 62), size: 8 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.492] WRITE: PID 42441 (Chrome_ChildIOT): file '' (inode: 329499), size: 1 bytes, LBA: 0, flags: O_WRONLY
[06:10:50.492] READ: PID 42441 (VizCompositorTh): file '' (inode: 329499), size: 2 bytes, LBA: 0, flags: 0
[06:10:50.492] WRITE: PID 42441 (Chrome_ChildIOT): file '' (inode: 329499), size: 1 bytes, LBA: 0, flags: O_WRONLY
[06:10:50.492] READ: PID 42441 (VizCompositorTh): file '' (inode: 329499), size: 2 bytes, LBA: 0, flags: 0
[06:10:50.494] WRITE: PID 42484 (code): file '[eventfd]' (inode: 62), size: 8 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.494] WRITE: PID 42484 (code): file '[eventfd]' (inode: 62), size: 8 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.501] WRITE: PID 42484 (code): file '[eventfd]' (inode: 62), size: 8 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.501] READ: PID 42484 (code): file '[eventfd]' (inode: 62), size: 1024 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.504] WRITE: PID 42441 (Chrome_ChildIOT): file '' (inode: 329499), size: 1 bytes, LBA: 0, flags: O_WRONLY
[06:10:50.505] READ: PID 42441 (VizCompositorTh): file '' (inode: 329499), size: 2 bytes, LBA: 0, flags: 0
[06:10:50.510] WRITE: PID 1311 (gnome-shell): file '[eventfd]' (inode: 62), size: 8 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.510] WRITE: PID 1311 (gnome-shell): file '[eventfd]' (inode: 62), size: 8 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.511] READ: PID 1311 (gnome-shell): file '[eventfd]' (inode: 62), size: 8 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.472] READ: PID 37506 (sudo): file 'ptmx' (inode: 89), size: 65536 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.472] WRITE: PID 37506 (sudo): file 'tty' (inode: 12), size: 107 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.472] WRITE: PID 37508 (python3): file '5' (inode: 8), size: 24 bytes, LBA: 0, flags: O_RDWR
[06:10:50.473] WRITE: PID 37508 (python3): file '5' (inode: 8), size: 108 bytes, LBA: 0, flags: O_RDWR
[06:10:50.473] WRITE: PID 37508 (python3): file '5' (inode: 8), size: 24 bytes, LBA: 0, flags: O_RDWR
[06:10:50.473] WRITE: PID 37508 (python3): file '5' (inode: 8), size: 108 bytes, LBA: 0, flags: O_RDWR
[06:10:50.473] WRITE: PID 37508 (python3): file '5' (inode: 8), size: 24 bytes, LBA: 0, flags: O_RDWR
[06:10:50.474] WRITE: PID 37508 (python3): file '5' (inode: 8), size: 108 bytes, LBA: 0, flags: O_RDWR
[06:10:50.475] OPEN: PID 37466 (tmux: server): file '' (inode: 0), flags: 0
[06:10:50.475] READ: PID 37466 (tmux: server): file 'cmdline' (inode: 295984), size: 1024 bytes, LBA: 0, flags: 0
[06:10:50.475] CLOSE: PID 37466 (tmux: server): file 'cmdline' (inode: 295984), flags: 0
[06:10:50.476] WRITE: PID 37508 (python3): file '5' (inode: 8), size: 24 bytes, LBA: 0, flags: O_RDWR
[06:10:50.476] WRITE: PID 37508 (python3): file '5' (inode: 8), size: 108 bytes, LBA: 0, flags: O_RDWR
[06:10:50.476] WRITE: PID 37508 (python3): file '5' (inode: 8), size: 24 bytes, LBA: 0, flags: O_RDWR
[06:10:50.476] WRITE: PID 37508 (python3): file '5' (inode: 8), size: 108 bytes, LBA: 0, flags: O_RDWR
[06:10:50.476] WRITE: PID 37508 (python3): file '5' (inode: 8), size: 24 bytes, LBA: 0, flags: O_RDWR
[06:10:50.477] WRITE: PID 37508 (python3): file '5' (inode: 8), size: 108 bytes, LBA: 0, flags: O_RDWR
[06:10:50.477] WRITE: PID 37508 (python3): file '5' (inode: 8), size: 24 bytes, LBA: 0, flags: O_RDWR
[06:10:50.477] WRITE: PID 37508 (python3): file '5' (inode: 8), size: 108 bytes, LBA: 0, flags: O_RDWR
[06:10:50.477] WRITE: PID 37508 (python3): file '5' (inode: 8), size: 24 bytes, LBA: 0, flags: O_RDWR
[06:10:50.478] WRITE: PID 37508 (python3): file '5' (inode: 8), size: 108 bytes, LBA: 0, flags: O_RDWR
[06:10:50.478] WRITE: PID 37508 (python3): file '5' (inode: 8), size: 24 bytes, LBA: 0, flags: O_RDWR
[06:10:50.478] WRITE: PID 37508 (python3): file '5' (inode: 8), size: 108 bytes, LBA: 0, flags: O_RDWR
[06:10:50.480] WRITE: PID 37508 (python3): file '5' (inode: 8), size: 24 bytes, LBA: 0, flags: O_RDWR
[06:10:50.481] WRITE: PID 37508 (python3): file '5' (inode: 8), size: 108 bytes, LBA: 0, flags: O_RDWR
[06:10:50.484] WRITE: PID 37508 (python3): file '5' (inode: 8), size: 24 bytes, LBA: 0, flags: O_RDWR
[06:10:50.484] WRITE: PID 37508 (python3): file '5' (inode: 8), size: 108 bytes, LBA: 0, flags: O_RDWR
[06:10:50.484] WRITE: PID 37508 (python3): file '5' (inode: 8), size: 24 bytes, LBA: 0, flags: O_RDWR
[06:10:50.484] WRITE: PID 37508 (python3): file '5' (inode: 8), size: 108 bytes, LBA: 0, flags: O_RDWR
[06:10:50.484] WRITE: PID 37508 (python3): file '5' (inode: 8), size: 24 bytes, LBA: 0, flags: O_RDWR
[06:10:50.485] WRITE: PID 37508 (python3): file '5' (inode: 8), size: 108 bytes, LBA: 0, flags: O_RDWR
[06:10:50.485] WRITE: PID 37508 (python3): file '5' (inode: 8), size: 24 bytes, LBA: 0, flags: O_RDWR
[06:10:50.485] WRITE: PID 37508 (python3): file '5' (inode: 8), size: 108 bytes, LBA: 0, flags: O_RDWR
[06:10:50.485] WRITE: PID 37508 (python3): file '5' (inode: 8), size: 24 bytes, LBA: 0, flags: O_RDWR
[06:10:50.486] WRITE: PID 37508 (python3): file '5' (inode: 8), size: 108 bytes, LBA: 0, flags: O_RDWR
[06:10:50.486] WRITE: PID 37508 (python3): file '5' (inode: 8), size: 24 bytes, LBA: 0, flags: O_RDWR
[06:10:50.486] WRITE: PID 37508 (python3): file '5' (inode: 8), size: 108 bytes, LBA: 0, flags: O_RDWR
[06:10:50.486] WRITE: PID 37508 (python3): file '5' (inode: 8), size: 24 bytes, LBA: 0, flags: O_RDWR
[06:10:50.487] WRITE: PID 37508 (python3): file '5' (inode: 8), size: 108 bytes, LBA: 0, flags: O_RDWR
[06:10:50.487] WRITE: PID 37508 (python3): file '5' (inode: 8), size: 24 bytes, LBA: 0, flags: O_RDWR
[06:10:50.487] WRITE: PID 37508 (python3): file '5' (inode: 8), size: 108 bytes, LBA: 0, flags: O_RDWR
[06:10:50.489] WRITE: PID 37508 (python3): file '5' (inode: 8), size: 24 bytes, LBA: 0, flags: O_RDWR
[06:10:50.489] WRITE: PID 37508 (python3): file '5' (inode: 8), size: 108 bytes, LBA: 0, flags: O_RDWR
[06:10:50.489] WRITE: PID 37508 (python3): file '5' (inode: 8), size: 24 bytes, LBA: 0, flags: O_RDWR
[06:10:50.490] WRITE: PID 37508 (python3): file '5' (inode: 8), size: 108 bytes, LBA: 0, flags: O_RDWR
[06:10:50.490] WRITE: PID 37508 (python3): file '5' (inode: 8), size: 24 bytes, LBA: 0, flags: O_RDWR
[06:10:50.490] WRITE: PID 37508 (python3): file '5' (inode: 8), size: 108 bytes, LBA: 0, flags: O_RDWR
[06:10:50.490] WRITE: PID 37508 (python3): file '5' (inode: 8), size: 24 bytes, LBA: 0, flags: O_RDWR
[06:10:50.490] WRITE: PID 37508 (python3): file '5' (inode: 8), size: 108 bytes, LBA: 0, flags: O_RDWR
[06:10:50.491] WRITE: PID 37508 (python3): file '5' (inode: 8), size: 24 bytes, LBA: 0, flags: O_RDWR
[06:10:50.491] WRITE: PID 37508 (python3): file '5' (inode: 8), size: 108 bytes, LBA: 0, flags: O_RDWR
[06:10:50.492] WRITE: PID 37508 (python3): file '5' (inode: 8), size: 24 bytes, LBA: 0, flags: O_RDWR
[06:10:50.492] WRITE: PID 37508 (python3): file '5' (inode: 8), size: 108 bytes, LBA: 0, flags: O_RDWR
[06:10:50.492] WRITE: PID 37508 (python3): file '5' (inode: 8), size: 24 bytes, LBA: 0, flags: O_RDWR
[06:10:50.493] WRITE: PID 37508 (python3): file '5' (inode: 8), size: 108 bytes, LBA: 0, flags: O_RDWR
[06:10:50.493] WRITE: PID 37508 (python3): file '5' (inode: 8), size: 24 bytes, LBA: 0, flags: O_RDWR
[06:10:50.493] WRITE: PID 37508 (python3): file '5' (inode: 8), size: 108 bytes, LBA: 0, flags: O_RDWR
[06:10:50.493] WRITE: PID 37508 (python3): file '5' (inode: 8), size: 24 bytes, LBA: 0, flags: O_RDWR
[06:10:50.493] WRITE: PID 37508 (python3): file '5' (inode: 8), size: 108 bytes, LBA: 0, flags: O_RDWR
[06:10:50.494] WRITE: PID 37508 (python3): file '5' (inode: 8), size: 24 bytes, LBA: 0, flags: O_RDWR
[06:10:50.495] WRITE: PID 37508 (python3): file '5' (inode: 8), size: 108 bytes, LBA: 0, flags: O_RDWR
[06:10:50.496] WRITE: PID 37508 (python3): file '5' (inode: 8), size: 24 bytes, LBA: 0, flags: O_RDWR
[06:10:50.497] WRITE: PID 37508 (python3): file '5' (inode: 8), size: 108 bytes, LBA: 0, flags: O_RDWR
[06:10:50.497] WRITE: PID 37508 (python3): file '5' (inode: 8), size: 24 bytes, LBA: 0, flags: O_RDWR
[06:10:50.497] WRITE: PID 37508 (python3): file '5' (inode: 8), size: 108 bytes, LBA: 0, flags: O_RDWR
[06:10:50.498] WRITE: PID 37508 (python3): file '5' (inode: 8), size: 24 bytes, LBA: 0, flags: O_RDWR
[06:10:50.498] WRITE: PID 37508 (python3): file '5' (inode: 8), size: 108 bytes, LBA: 0, flags: O_RDWR
[06:10:50.498] WRITE: PID 37508 (python3): file '5' (inode: 8), size: 24 bytes, LBA: 0, flags: O_RDWR
[06:10:50.499] WRITE: PID 37508 (python3): file '5' (inode: 8), size: 108 bytes, LBA: 0, flags: O_RDWR
[06:10:50.499] WRITE: PID 37508 (python3): file '5' (inode: 8), size: 24 bytes, LBA: 0, flags: O_RDWR
